2017-06-06 15:48:34%*2%*2d38bda076ce11e6b8db00163e006499
2017-07-12 16:43:55%*2%*3e6813626c2b11e696a500163e006499
2017-07-11 14:00:21%*2%*51c7c000090711e7ba8800163e006499
2017-07-04 15:14:46%*None%*6e6e8bd805bc11e7b76800163e006499
2017-06-22 09:40:16%*4%*b96852a8704411e69ee600163e006499
2017-06-21 15:47:33%*4%*9e94860476b111e6b8db00163e006499
2017-06-06 14:06:15%*4%*3A0A51854DE143F8BD49C65A1640C962
2017-07-24 13:48:32%*4%*ca0bfa86383211e797dd00163e006499
2017-06-05 14:11:38%*4%*47CA4BCBEF19418A90B73E42A8383226
2017-07-14 09:23:14%*4%*defb2cd46c0711e696a500163e006499
2017-07-03 13:50:34%*4%*66ecb8e405c611e7ac2f00163e006499
2017-06-05 09:19:03%*4%*5FBE73969F9E41AAB7B1AEB525BF4E7C
2017-07-17 15:15:07%*4%*4cc247766c2011e696a500163e006499
2017-07-25 15:12:34%*3%*0486cc486a1811e696fb00163e006499
2017-07-11 15:41:26%*2%*24ebe15439ce11e79fa900163e006499
2017-05-27 15:46:32%*4%*8bcf064476b511e6b8db00163e006499
2017-06-09 09:53:48%*4%*8CC71273648A48578F8F39BA5478F2A8
2017-07-26 09:37:56%*4%*c5a6f83e6ab411e6bf9200163e006499
2017-07-13 10:57:53%*2%*72e461946c1311e696a500163e006499
2017-08-02 14:14:38%*None%*9d5eb70a6c2011e696a500163e006499
2017-07-12 09:02:27%*4%*9b033bda6abc11e6bf9200163e006499
2017-07-14 09:55:35%*2%*be3638426a0711e696fb00163e006499
2017-07-05 15:37:47%*None%*4513f52c6bcd11e696a500163e006499
2017-08-01 16:14:23%*2%*5f8fac9e6c2111e696a500163e006499
2017-07-25 16:21:25%*2%*555e1e386a1211e696fb00163e006499
2017-06-05 10:45:43%*2%*04966F70F8934A41BCA5E340D82FF92A
2017-08-07 15:43:36%*2%*1ed318f076ce11e6b8db00163e006499
2017-06-07 09:42:41%*2%*E5897AD7CEBA44BCA1B972D36EE4DE9F
2017-06-30 14:09:09%*4%*8789c64c608411e69e0300163e006499
2017-07-13 10:19:37%*4%*ba975d986bf011e696a500163e006499
2017-06-05 11:49:45%*4%*BEFAF84D9CC641C79805C1B49C88D2C5
2017-06-20 11:25:07%*2%*64ba49c638dc11e7a4f100163e006499
2017-06-02 14:54:00%*4%*c814969c76be11e6b8db00163e006499
2017-07-19 11:09:49%*2%*d3316b166acc11e6bf9200163e006499
2017-07-11 14:24:15%*4%*c84fef3a6acf11e6bf9200163e006499
2017-06-28 16:42:44%*None%*d6bb8878375b11e7b5e200163e006499
2017-06-23 14:00:23%*2%*b3e557c876b011e6b8db00163e006499
2017-07-06 15:44:40%*2%*2abde1d86a5611e696fb00163e006499
2017-06-13 16:26:56%*1%*09a629aa76b911e6b8db00163e006499
2017-06-29 14:17:33%*2%*016FAE7CD2F944A89AF1F8306063DCC1
2017-06-02 08:42:21%*4%*60719D28B3DF4D80AB2EBEC6D7A9E3E7
2017-06-22 08:35:58%*2%*250f1bf838eb11e78ce800163e006499
2017-07-13 15:11:14%*2%*78000bec6bbe11e696a500163e006499
2017-07-24 11:33:16%*2%*D2A5F8CB4D7547E59B986C8D289F81C2
2017-07-27 10:23:49%*2%*ae53d0346a1511e696fb00163e006499
2017-08-03 11:18:11%*4%*73ff59466c0c11e696a500163e006499
2017-07-12 14:41:04%*2%*2597362c6c1e11e696a500163e006499
2017-06-21 16:04:11%*2%*35B1810862C84F639BD27DE956350C44
2017-07-17 17:20:46%*2%*da7b71e46bf511e696a500163e006499
2017-08-01 13:35:56%*3%*f1455c806c1511e696a500163e006499
2017-07-19 16:21:30%*2%*e165fcb06a0411e696fb00163e006499
2017-08-07 14:59:32%*2%*B9DA3B44D8AA4730B572BC6742236A7F
2017-06-02 13:59:27%*2%*6b6e7f6c76cc11e6b8db00163e006499
2017-06-29 15:06:59%*2%*6a3d894476d611e6b8db00163e006499
2017-07-26 16:56:53%*2%*bb189be26c0911e696a500163e006499
2017-06-28 14:28:18%*2%*718BDC9471884943B125FE10FA70DF7D
2017-07-21 09:21:24%*2%*69a57c3e6bc911e696a500163e006499
2017-06-09 10:58:17%*4%*2f62ddc8608411e69e0300163e006499
2017-06-29 08:55:14%*4%*3980ca9209a611e7881900163e006499
2017-07-03 11:05:41%*4%*2e47b5d876b611e6b8db00163e006499
2017-08-03 17:07:35%*2%*a28ab1f839b511e79c0700163e006499
2017-07-27 14:40:25%*2%*7078467c6a2a11e696fb00163e006499
2017-07-26 16:38:51%*2%*09f014746c0b11e696a500163e006499
2017-07-26 13:59:45%*3%*fe0616006bf511e696a500163e006499
2017-06-07 11:10:02%*4%*d2a06d3076bd11e6b8db00163e006499
2017-06-09 13:42:11%*4%*9bb02826609011e69e0300163e006499
2017-07-06 16:18:08%*None%*0781caf2609e11e69e0300163e006499
