2017-07-05 16:37:09%*1%*97f526fc6bd811e696a500163e006499
2017-07-04 16:02:28%*1%*a277fae86af011e6bf9200163e006499
2017-07-04 16:01:50%*1%*2856d3e06c2311e696a500163e006499
2017-07-14 14:42:34%*1%*d9460d026ad811e6bf9200163e006499
2017-07-14 14:26:28%*1%*c0c3a28c6abd11e6bf9200163e006499
2017-07-18 16:15:11%*1%*956913da6c4111e696a500163e006499
2017-07-17 11:25:14%*1%*3f8af4e8a33111e6882000163e006499
2017-07-04 14:21:03%*1%*9eb41fc8a2a311e6954000163e006499
2017-07-27 10:25:08%*1%*32fa6a1e6c0f11e696a500163e006499
2017-07-17 11:32:32%*1%*c8317f02608211e69e0300163e006499
2017-06-27 15:15:35%*1%*be265df8703f11e69ee600163e006499
2017-07-12 14:55:05%*1%*3410ea786be111e696a500163e006499
2017-07-28 14:48:48%*1%*d2403a8aa30611e68cf800163e006499
2017-07-20 10:23:02%*1%*AB1A3A7C18894D5294A073D6F111AA31
2017-06-22 13:17:09%*1%*9f1ec5f06a0c11e696fb00163e006499
2017-07-31 10:40:36%*1%*458ede7e608b11e69e0300163e006499
2017-06-27 15:52:03%*1%*42a8f8126bcf11e696a500163e006499
2017-06-29 14:10:36%*2%*c1dc36a46bce11e696a500163e006499
2017-07-17 17:05:10%*1%*e5f27ee66be111e696a500163e006499
2017-07-21 09:41:45%*1%*b62189da76c411e6b8db00163e006499
2017-07-19 09:27:04%*None%*9df98044608811e69e0300163e006499
2017-07-17 14:07:07%*1%*d4ad010e76ba11e6b8db00163e006499
2017-07-14 14:19:11%*1%*b43f994e6a5e11e696fb00163e006499
2017-07-18 15:59:13%*1%*6a7d1238a35111e6bc3000163e006499
2017-08-01 11:34:25%*1%*f3c748bc6ab511e6bf9200163e006499
2017-08-01 10:18:21%*1%*bc77ff1476cc11e6b8db00163e006499
2017-07-17 15:10:33%*1%*d10856aa6c0311e696a500163e006499
2017-07-03 14:27:57%*1%*0baac500609b11e69e0300163e006499
2017-06-28 11:20:20%*1%*36a670ba6c0811e696a500163e006499
