2017-08-03 10:26:40%*2%*4b2ca710068211e79bdf00163e006499
2017-07-26 10:49:47%*2%*a5bf417e069611e7856000163e006499
2017-07-25 15:39:48%*2%*c0314748609011e69e0300163e006499
2017-06-23 09:57:38%*2%*3c30a45809bd11e7881900163e006499
2017-07-10 09:19:19%*2%*36e8e1bc068f11e79bdf00163e006499
2017-06-20 14:22:02%*2%*E6382B0BDD494AAFB93E0C8688866679
2017-06-15 14:42:32%*2%*D7B111A6654A46CDA379D01412E3DE87
2017-06-12 10:17:03%*2%*0FE6109D52AF4FEE963CEEFC202998BB
2017-07-31 14:55:07%*2%*6079fc90608711e69e0300163e006499
2017-07-06 08:38:16%*4%*015764aa082011e78bef00163e006499
2017-07-26 10:52:13%*2%*88380dce052a11e7a15b00163e006499
2017-06-07 15:13:44%*2%*3c26662e376111e7893400163e006499
2017-06-05 13:52:55%*2%*3CB58CDFF15A438FB04387B3135403F9
2017-08-01 13:35:46%*2%*6dbbe818082111e7904900163e006499
2017-06-13 16:11:21%*2%*8EFF9F04150F49D58F9ACFA57BE8A633
2017-06-16 09:55:59%*4%*a6c3082a608e11e69e0300163e006499
2017-08-04 08:38:44%*4%*d550d884608911e69e0300163e006499
2017-06-05 13:55:46%*3%*658a30be3a7611e78d8c00163e006499
2017-06-12 09:27:54%*2%*06781040390511e7ad3300163e006499
2017-06-29 15:14:00%*2%*de59663a084a11e797e400163e006499
2017-06-15 15:03:51%*2%*f09fb2d676cd11e6b8db00163e006499
2017-07-13 10:57:19%*2%*826a99dc703f11e69ee600163e006499
2017-07-19 10:16:08%*2%*82cab12476bf11e6b8db00163e006499
2017-06-20 09:27:57%*2%*d23a9a26608511e69e0300163e006499
2017-07-19 15:49:33%*2%*cae2c6fa608411e69e0300163e006499
2017-06-13 10:19:42%*4%*b67a94e6608d11e69e0300163e006499
2017-06-26 10:11:17%*2%*f0115ce2085011e7acc900163e006499
2017-06-29 09:34:47%*4%*4818dbae08dd11e7a08a00163e006499
2017-07-13 14:23:36%*2%*84790982608811e69e0300163e006499
2017-06-28 15:50:54%*2%*a015e44c76ce11e6b8db00163e006499
2017-07-06 10:14:14%*2%*bc77cff6099f11e7b62a00163e006499
2017-06-16 09:18:06%*None%*DC1D57EC8C7C4B449122279B9E763F5C
2017-07-06 13:12:39%*2%*66caf46604f411e7966100163e006499
2017-06-23 13:38:09%*4%*051e73fa76d311e6b8db00163e006499
2017-07-03 11:12:17%*2%*7198a0f6380111e7abbe00163e006499
2017-06-29 09:32:20%*2%*3d470d7676c611e6b8db00163e006499
2017-06-14 13:41:22%*2%*19b11a50711211e6be7000163e006499
2017-06-22 13:57:38%*2%*0df5d62076b111e6b8db00163e006499
2017-06-15 09:03:05%*2%*224cf35c608a11e69e0300163e006499
2017-06-20 10:52:54%*4%*55660F960E6B4F648E0F9195355227C4
2017-07-12 10:09:12%*2%*3a6fd9b8090411e7b42700163e006499
2017-06-23 10:35:14%*2%*5e07bc4276b011e6b8db00163e006499
2017-06-09 13:30:22%*2%*79d4fe0a3b3e11e7bdaa00163e006499
2017-06-22 13:11:37%*2%*e9bfc3f406ae11e79bdf00163e006499
2017-06-12 10:42:53%*2%*F49A17F640164EE5BD2614B52FD5ECAA
2017-07-07 15:56:53%*2%*d8f82df808ee11e7ae3b00163e006499
2017-06-21 16:25:21%*2%*16385260609311e69e0300163e006499
