2017-08-03 17:15:12%*1%*0ec6d44609be11e7b62a00163e006499
2017-08-03 15:14:18%*1%*bdecb0dea36c11e6bbef00163e006499
2017-08-03 15:51:21%*1%*1d540562084a11e78bef00163e006499
2017-08-03 15:28:05%*1%*0ec6d44609be11e7b62a00163e006499
2017-08-03 16:41:11%*1%*1d540562084a11e78bef00163e006499
2017-08-03 16:04:44%*1%*bdecb0dea36c11e6bbef00163e006499
2017-08-03 09:08:51%*1%*18f242dc36a211e7901500163e006499
2017-08-03 17:08:25%*1%*18f242dc36a211e7901500163e006499
2017-08-02 15:42:40%*1%*18f242dc36a211e7901500163e006499
2017-08-02 13:56:15%*1%*18f242dc36a211e7901500163e006499
2017-08-03 15:54:29%*1%*b09ed2366e4111e7ae3300163e006499
2017-08-02 11:15:05%*1%*18f242dc36a211e7901500163e006499
2017-08-03 16:41:41%*1%*b09ed2366e4111e7ae3300163e006499
2017-08-03 15:19:01%*1%*536fdb96609b11e69e0300163e006499
2017-08-03 15:56:49%*1%*cd5b38486c2f11e696a500163e006499
2017-08-03 15:28:03%*1%*7EA2E9CE022C48749EA686B3BB06468E
2017-08-03 16:07:46%*1%*900510486bd211e696a500163e006499
2017-08-03 16:28:09%*1%*e26b92586ac411e6bf9200163e006499
2017-08-03 15:38:23%*1%*B06DFFC6FDDB44309A24D3768ED0F9BE
2017-08-03 16:09:12%*1%*0758fa140a7111e78b1300163e006499
2017-08-03 16:52:01%*1%*dec6d9ca081a11e7819900163e006499
2017-08-03 09:43:31%*1%*9a5ec6c605f411e7b76800163e006499
2017-08-03 11:10:50%*1%*9a5ec6c605f411e7b76800163e006499
2017-08-03 09:53:37%*1%*9a5ec6c605f411e7b76800163e006499
2017-08-03 16:57:35%*1%*f7987cb2374311e7819000163e006499
2017-08-03 17:01:38%*1%*E08D83726FEF4A3B895487B804A9FA3E
2017-08-03 10:03:44%*1%*9a5ec6c605f411e7b76800163e006499
2017-08-03 11:03:22%*1%*9a5ec6c605f411e7b76800163e006499
2017-08-03 15:19:59%*1%*5dd4f41836a111e7838400163e006499
2017-08-02 10:23:49%*1%*9a5ec6c605f411e7b76800163e006499
2017-08-02 10:24:26%*1%*9a5ec6c605f411e7b76800163e006499
2017-08-03 15:52:52%*1%*f7987cb2374311e7819000163e006499
2017-08-03 16:27:58%*1%*9F012B2B38D0404EA4C8F2D19E8B3224
2017-08-03 17:13:21%*1%*7176de0476b811e6b8db00163e006499
2017-08-03 09:27:52%*1%*9a5ec6c605f411e7b76800163e006499
2017-08-03 10:04:42%*1%*9a5ec6c605f411e7b76800163e006499
2017-08-03 16:19:51%*1%*9F012B2B38D0404EA4C8F2D19E8B3224
2017-08-03 15:33:37%*1%*9F012B2B38D0404EA4C8F2D19E8B3224
2017-08-03 15:52:02%*1%*7176de0476b811e6b8db00163e006499
2017-08-03 15:53:31%*1%*f7987cb2374311e7819000163e006499
2017-08-03 16:14:48%*1%*9a5ec6c605f411e7b76800163e006499
2017-08-03 09:55:01%*None%*e5adc35e368a11e7901500163e006499
2017-08-03 17:20:00%*1%*647c3708380511e7ba6f00163e006499
2017-08-03 09:56:00%*1%*e5adc35e368a11e7901500163e006499
2017-08-03 17:09:54%*1%*afed09c8f11b11e69f6500163e006499
2017-08-03 17:01:58%*1%*cf2b05d26a4e11e696fb00163e006499
2017-08-02 17:02:56%*2%*e5adc35e368a11e7901500163e006499
2017-08-03 16:48:28%*1%*520cc4246e4311e7a31000163e006499
2017-08-03 16:48:28%*None%*520cc4246e4311e7a31000163e006499
2017-08-03 17:07:05%*1%*5b443f2c068311e7836400163e006499
2017-08-03 17:12:46%*1%*f910da406e3811e7b5a900163e006499
2017-08-02 10:30:54%*1%*e5adc35e368a11e7901500163e006499
