2017-08-04 16:20:27%*2%*f44c73bc39a811e78ae300163e006499
2017-07-27 11:06:42%*2%*90f3f5b4383211e797dd00163e006499
2017-08-02 16:07:28%*2%*cc4bcee8035311e7b32c00163e006499
2017-07-31 16:40:08%*2%*1273cd8836a511e7b80000163e006499
2017-07-24 09:09:49%*2%*6FDF5726B6C74E2188EA0225C84282FD
2017-07-14 17:44:07%*1%*35bae46036a611e7b77b00163e006499
2017-07-27 08:40:23%*1%*4b75fab66c1611e696a500163e006499
2017-07-19 15:03:11%*2%*dadc5cf0099f11e7884000163e006499
2017-07-18 10:30:10%*2%*a4accd9805f511e7aff600163e006499
2017-08-04 10:00:07%*2%*34ee7fd0a39211e6b29300163e006499
2017-07-17 15:41:21%*1%*5a0579b80a7611e7b20100163e006499
2017-07-31 15:52:01%*2%*a777ffe46bfd11e696a500163e006499
2017-07-14 16:12:08%*4%*cbe9b6746a6d11e696fb00163e006499
2017-08-03 11:13:04%*2%*363371806bec11e696a500163e006499
2017-07-28 08:56:22%*4%*b6fab1c876ac11e6b8db00163e006499
2017-07-14 10:20:03%*4%*000f72e8068311e78df400163e006499
2017-07-18 11:39:05%*2%*31c2809604ee11e789a800163e006499
2017-07-27 11:19:37%*4%*c6b59eb66c2a11e696a500163e006499
2017-07-21 09:22:03%*2%*f2057c5a6af211e6bf9200163e006499
2017-07-13 16:32:57%*2%*a9c8308e6e4511e7b06500163e006499
2017-08-01 11:26:03%*2%*b6fab1c876ac11e6b8db00163e006499
2017-08-01 09:57:52%*2%*ba1edae238c511e7884300163e006499
2017-08-03 15:39:01%*2%*1fa5c9483a9211e783fc00163e006499
2017-07-18 11:55:43%*2%*defd6f106e4c11e78e5e00163e006499
2017-07-19 10:01:46%*4%*9ec6341276cd11e6b8db00163e006499
2017-08-03 15:42:16%*2%*5eccdd2209c911e7881900163e006499
2017-08-07 10:05:17%*2%*6cecd75876cc11e6b8db00163e006499
2017-07-17 11:39:13%*2%*cb65da4e6e3f11e78e5e00163e006499
2017-08-01 11:16:33%*4%*9653cfb276cb11e6b8db00163e006499
2017-07-21 09:05:00%*1%*2c89ec5276ca11e6b8db00163e006499
2017-08-03 14:46:48%*2%*0b63701838ec11e7b94f00163e006499
2017-07-14 11:22:42%*2%*df4629c06e4311e796b800163e006499
2017-08-02 09:47:43%*4%*9022215c76b211e6b8db00163e006499
2017-08-07 08:50:12%*2%*72baf8ee76c311e6b8db00163e006499
2017-08-01 13:45:48%*2%*6d8431f66e4811e78dcf00163e006499
2017-07-18 11:59:42%*2%*d8cbfb5a609911e69e0300163e006499
2017-07-31 14:01:07%*2%*529e138876d311e6b8db00163e006499
2017-08-01 11:24:30%*2%*b4fefc62716011e7ae5300163e006499
2017-08-02 09:46:08%*4%*a9c938f0608411e69e0300163e006499
2017-07-28 11:07:40%*2%*b64701766e3811e7b06500163e006499
2017-07-26 09:44:27%*1%*dc889a98717611e7884b00163e006499
2017-08-04 15:56:42%*2%*7FE0285A0D1149EF8110EC8FC3B20B2E
2017-07-17 14:19:15%*2%*3ecb2bb2719011e7ae0500163e006499
2017-07-18 14:35:45%*2%*d8f76004069a11e7aa0700163e006499
2017-08-01 11:07:30%*2%*047FFB58A17F42F1898279CD6E29C2EB
2017-08-07 08:47:07%*1%*c7fdd514609411e69e0300163e006499
2017-07-27 09:49:33%*4%*a697cff8608811e69e0300163e006499
2017-08-02 14:08:11%*4%*8c0fbb5a609211e69e0300163e006499
2017-07-26 11:42:35%*1%*727e833ef16911e6b8c000163e006499
2017-08-02 15:23:35%*2%*63622c2c3a9b11e7800900163e006499
2017-07-18 16:34:37%*2%*B5072CBFFAB64A94A6D64E976B2A921A
2017-07-27 11:33:32%*2%*d1f9a5d4375811e7968d00163e006499
2017-08-07 16:02:17%*None%*6cb1ffac76c211e6b8db00163e006499
2017-07-17 11:08:57%*2%*348e3c0c76d211e6b8db00163e006499
2017-08-04 15:36:54%*2%*4cf1807076c711e6b8db00163e006499
2017-07-31 10:19:19%*2%*91f5ecee04ff11e7a28900163e006499
2017-07-18 14:17:02%*2%*d80e7e9a6e4e11e7a31000163e006499
2017-07-28 14:30:27%*2%*e97c6d6a380011e7ba6f00163e006499
2017-08-03 16:16:45%*2%*354836a0716a11e7884b00163e006499
2017-08-01 11:37:20%*2%*9653cfb276cb11e6b8db00163e006499
2017-07-27 11:27:15%*1%*9045BA52D515481C9E2C85D757466401
2017-07-28 13:35:16%*2%*8065F3644872439D9D4C4EB6B6FDC351
