2017-06-15 12:59:03%*2%*51fa75ea703c11e6aed800163e006499
2017-06-20 15:26:03%*3%*c5ed61aa76b911e6b8db00163e006499
2017-06-30 17:13:21%*2%*81108cb6609711e69e0300163e006499
2017-07-20 17:24:37%*2%*ee637ce804f111e7aee700163e006499
2017-06-08 15:31:12%*None%*1f77656676a811e6b8db00163e006499
2017-07-24 17:18:25%*2%*cf52ef2c091111e7a3f400163e006499
2017-07-18 13:50:57%*2%*1507cbb406ba11e7836400163e006499
2017-06-21 09:02:46%*2%*2addc9a676ab11e6b8db00163e006499
2017-06-09 14:54:55%*2%*cbfb40c676c311e6b8db00163e006499
2017-06-23 15:09:43%*2%*B40F23E31EC84505A73F2924D7E48945
2017-07-17 15:02:06%*1%*39a55826090111e7b03200163e006499
2017-07-25 17:38:05%*2%*019cf02a09be11e7b62a00163e006499
2017-07-05 14:42:12%*1%*f4c05688703b11e6aed800163e006499
2017-07-13 09:07:23%*2%*c03b609276d511e6b8db00163e006499
2017-06-26 14:28:53%*2%*0fec39f876cd11e6b8db00163e006499
2017-06-21 14:58:08%*2%*37b8bf5a76b011e6b8db00163e006499
2017-06-29 09:28:36%*4%*580222F2939C471A9704682863839A76
2017-06-16 10:34:39%*4%*47bf89aa76bb11e6b8db00163e006499
2017-07-25 10:40:09%*2%*12cd965e08ee11e7ae3b00163e006499
2017-06-26 13:33:13%*2%*e03515e6704011e69ee600163e006499
2017-06-22 09:40:22%*4%*56d34a7a76bc11e6b8db00163e006499
2017-06-22 17:26:36%*2%*afc1e01476b311e6b8db00163e006499
2017-06-26 13:08:06%*4%*640A40D2F37D48749DB20AB8F665A0E6
2017-07-24 17:44:39%*4%*f6d86e8e05d111e7b8b800163e006499
2017-07-26 15:54:57%*None%*150524B3C907418ABE53DD318A21ADE0
2017-06-12 13:53:34%*2%*ec16d0e4609511e69e0300163e006499
2017-06-28 15:31:33%*4%*743A5FD5BA5F47DCA69523D0852F24AF
2017-06-22 15:19:47%*4%*caa820be76cc11e6b8db00163e006499
2017-07-27 09:42:06%*3%*0a513b0a703e11e6aed800163e006499
2017-07-10 13:54:55%*2%*D7A60FBDC05142478EA8345D4063F48B
2017-07-10 10:17:40%*3%*3f92675c76a711e6b8db00163e006499
2017-06-09 09:07:54%*2%*badbb12c76cd11e6b8db00163e006499
2017-07-24 10:40:03%*2%*2b21bb9606bd11e7aa0700163e006499
2017-06-13 10:51:44%*4%*f132d26276d911e6b8db00163e006499
2017-06-19 14:42:57%*2%*f450bc0e703d11e6aed800163e006499
2017-07-27 15:58:53%*2%*6292a91276be11e6b8db00163e006499
2017-06-26 09:52:10%*2%*bd6773be76cc11e6b8db00163e006499
2017-07-03 08:56:49%*2%*BD44C1E31A314FB0A0BFE3C4D3F9C921
2017-07-13 15:44:18%*2%*fedc31d804f011e7966100163e006499
2017-06-15 08:36:48%*2%*BABE501BE2584C428D0433A6EFF4A27C
2017-07-13 14:20:15%*2%*128f88c876ae11e6b8db00163e006499
2017-06-15 11:23:51%*1%*51fa75ea703c11e6aed800163e006499
2017-07-20 16:26:44%*2%*7983979408e011e795ce00163e006499
2017-06-29 10:39:56%*3%*B0E2CD4D5FD24E4EB0051B05058F93C4
2017-06-08 15:18:18%*2%*4EB5658389C14EC4AABF22EF451AFC12
2017-06-09 08:34:37%*4%*29850320609511e69e0300163e006499
2017-07-26 11:16:38%*2%*386e093009d311e7881900163e006499
2017-07-18 16:40:18%*2%*db87324205d511e7b8b800163e006499
2017-07-25 17:46:01%*2%*0a75d97005ca11e7b8b800163e006499
2017-06-07 14:32:03%*2%*6ddf8658608611e69e0300163e006499
2017-06-20 13:38:31%*2%*429db4cc609711e69e0300163e006499
2017-06-15 13:04:32%*4%*82e9d00c609b11e69e0300163e006499
2017-07-10 14:00:40%*2%*44ad262e704311e69ee600163e006499
2017-07-24 10:14:32%*2%*a6734f2a06b411e78e6c00163e006499
2017-07-06 15:43:01%*2%*18783d7676b211e6b8db00163e006499
2017-07-05 14:25:48%*2%*2480afbe76cf11e6b8db00163e006499
2017-07-26 10:11:58%*2%*984A1C373BBF441F941999D14C597F7C
2017-06-20 09:43:29%*3%*8756ff2676b611e6b8db00163e006499
2017-06-12 13:14:25%*2%*a3a025dc609911e69e0300163e006499
2017-06-15 15:55:15%*2%*a2ef705a76c111e6b8db00163e006499
2017-07-21 11:24:01%*2%*ef40bea206a211e7b1f600163e006499
2017-06-09 10:07:36%*2%*50754BE560664F028100032A1F01ABC6
2017-08-01 16:11:30%*2%*576ac71e76b311e6b8db00163e006499
2017-07-11 10:30:48%*2%*a3103a4e0a6c11e7ac0600163e006499
2017-06-16 15:42:22%*4%*6744EEA60DBF462E831846CF884982D3
2017-07-17 09:07:46%*2%*c312e6f276d311e6b8db00163e006499
2017-06-30 17:22:10%*2%*5AA63DB8D8544C129689B2BA652E96C1
2017-06-14 10:45:06%*3%*B1B0E0DFC03047CC9F31480AF7F5AA73
2017-07-11 10:17:58%*4%*1d8e0db6082211e7adbd00163e006499
2017-07-11 09:59:41%*1%*d22929de76d411e6b8db00163e006499
2017-06-09 16:42:50%*2%*a010b1b6608511e69e0300163e006499
2017-07-25 13:18:28%*2%*a50c9b6e06b911e79bdf00163e006499
2017-07-14 09:35:21%*2%*52e4e52676a911e6b8db00163e006499
2017-07-06 10:53:00%*2%*fcef0cf076da11e6b8db00163e006499
2017-07-28 10:13:42%*3%*d4565bb4069911e78df400163e006499
